date,latitude,longitude,township,timezone,summary,precipProbability,precipIntensity,precipAccumulation,windSpeed,icon,windBearing,windGust,temperatureMin,temperatureMax
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
2025-05-12,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.76,0.27,0.27,5.8,rain,173,15.0,78,90
2025-05-13,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, afternoon rain",0.7,0.09,0.09,4.6,rain,175,16.1,78,90
2025-05-14,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.92,0.92,0.92,5.8,rain,161,16.1,77,87
2025-05-15,16.8,96.15,Dagon,Asia/Rangoon,Some rain and a thunderstorm,0.7,0.52,0.52,5.8,rain,147,15.0,76,86
2025-05-16,16.8,96.15,Dagon,Asia/Rangoon,Occasional rain and a t-storm,0.57,0.46,0.46,2.3,rain,157,8.1,76,83
2025-05-17,16.8,96.15,Dagon,Asia/Rangoon,Periods of rain,0.69,0.55,0.55,2.3,rain,161,9.2,77,84
2025-05-18,16.8,96.15,Dagon,Asia/Rangoon,Rain and a thunderstorm,0.66,0.45,0.45,2.3,rain,197,9.2,78,85
2025-05-09,16.8,96.15,Dagon,Asia/Rangoon,A t-storm late this afternoon,0.4,0.0,0.0,4.6,thunderstorm,220,12.7,81,99
2025-05-10,16.8,96.15,Dagon,Asia/Rangoon,Cloudy with a stray t-storm,0.55,0.36,0.36,5.8,thunderstorm,215,16.1,79,95
2025-05-11,16.8,96.15,Dagon,Asia/Rangoon,"Cloudy, a t-storm in the p.m.",0.61,0.23,0.23,6.9,thunderstorm,234,18.4,77,95
