date,latitude,longitude,township,timezone,summary,precipProbability,precipIntensity,precipAccumulation,windSpeed,icon,windBearing,windGust,temperatureMin,temperatureMax
2025-05-16,16.2929,95.3948,Bogale,Asia/Rangoon,Rain becoming intermittent,1.0,0.35,0.35,6.9,rain,153,13.8,78,87
2025-05-17,16.2929,95.3948,Bogale,Asia/Rangoon,Occasional rain,0.91,0.33,0.33,8.1,rain,129,20.7,79,87
2025-05-18,16.2929,95.3948,Bogale,Asia/Rangoon,"Rather cloudy, a little rain",0.8,0.02,0.02,9.2,rain,147,18.4,78,92
2025-05-19,16.2929,95.3948,Bogale,Asia/Rangoon,"Mostly cloudy, a little rain",0.8,0.1,0.1,9.2,rain,196,17.3,79,93
2025-05-20,16.2929,95.3948,Bogale,Asia/Rangoon,"Mostly cloudy, a little rain",0.75,0.1,0.1,8.1,rain,186,18.4,79,93
2025-05-21,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.91,0.2,0.2,8.1,rain,182,18.4,79,91
2025-05-22,16.2929,95.3948,Bogale,Asia/Rangoon,Some rain and a thunderstorm,0.55,0.12,0.12,8.1,rain,191,13.8,79,90
2025-05-23,16.2929,95.3948,Bogale,Asia/Rangoon,Rain and a thunderstorm,0.65,0.5,0.5,2.3,rain,209,9.2,79,90
2025-05-24,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.6,0.27,0.27,3.5,rain,131,12.7,78,87
2025-05-25,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.64,0.43,0.43,4.6,rain,137,13.8,79,86
